id,predicted_answer
56d98a59dc89441400fdb52a,Cam Newton
56d98a59dc89441400fdb52b,Arizona Cardinals
56d98a59dc89441400fdb52e,1995
56be4eafacb8001400a50302,Denver linebacker Von Miller
56be4eafacb8001400a50303,two
56be4eafacb8001400a50304,The Broncos
56beab833aeaaa14008c91d2,Von Miller
56beab833aeaaa14008c91d3,five
56beab833aeaaa14008c91d4,Newton
56beae423aeaaa14008c91f4,seven times
56beae423aeaaa14008c91f5,Von Miller
56beae423aeaaa14008c91f6,three
56beae423aeaaa14008c91f7,two
56bf17653aeaaa14008c9511,Denver linebacker Von Miller
56bf17653aeaaa14008c9513,Super Bowl MVP
56bf17653aeaaa14008c9514,five
56bf17653aeaaa14008c9515,two
56d204ade7d4791d00902603,Von Miller
56d204ade7d4791d00902604,five
56d601e41c85041400946ece,seven
56d601e41c85041400946ecf,seven times
56d601e41c85041400946ed0,three
56d601e41c85041400946ed1,Von Miller
56d601e41c85041400946ed2,Denver linebacker
56d98b33dc89441400fdb53b,seven
56d98b33dc89441400fdb53c,three
56d98b33dc89441400fdb53d,Von Miller
56d98b33dc89441400fdb53e,five
56be5333acb8001400a5030a,CBS
56be5333acb8001400a5030b,$5 million
56be5333acb8001400a5030c,British rock group Coldplay
56be5333acb8001400a5030d,Beyoncé and Bruno Mars
56be5333acb8001400a5030e,Super Bowl XLVIII
56beaf5e3aeaaa14008c91fd,CBS
56beaf5e3aeaaa14008c91fe,$5 million
56beaf5e3aeaaa14008c91ff,Beyoncé and Bruno Mars
56beaf5e3aeaaa14008c9200,Beyoncé and Bruno Mars
56beaf5e3aeaaa14008c9201,Beyoncé and Bruno Mars
56bf1ae93aeaaa14008c951b,CBS
56bf1ae93aeaaa14008c951c,$5 million
56bf1ae93aeaaa14008c951e,Beyoncé and Bruno Mars
56bf1ae93aeaaa14008c951f,third
56d2051ce7d4791d00902608,CBS
56d2051ce7d4791d00902609,$5 million
56d2051ce7d4791d0090260a,British rock group Coldplay
56d2051ce7d4791d0090260b,Beyoncé and Bruno Mars
56d602631c85041400946ed8,Beyoncé and Bruno Mars
56d602631c85041400946eda,Beyoncé and Bruno Mars
56d602631c85041400946edb,Beyoncé and Bruno Mars
56d602631c85041400946edc,Super Bowl XLVIII
56d98c53dc89441400fdb544,$5 million
56d98c53dc89441400fdb545,Beyoncé and Bruno Mars
56d98c53dc89441400fdb546,Beyoncé and Bruno Mars
56d98c53dc89441400fdb548,Beyoncé and Bruno Mars
56be53b8acb8001400a50314,Roger Goodell
56be53b8acb8001400a50315,50th
56be53b8acb8001400a50316,2012
56beafca3aeaaa14008c9207,Roger Goodell
56beafca3aeaaa14008c9208,early 2012
56bf42f53aeaaa14008c95a3,Roger Goodell
56d2053ae7d4791d00902610,Roger Goodell
56d6edd00d65d21400198250,Roger Goodell
56d6edd00d65d21400198251,spectacular
56d98d0adc89441400fdb54e,spectacular
56d98d0adc89441400fdb54f,2012
56be5438acb8001400a5031a,New Orleans' Mercedes-Benz Superdome
56be5438acb8001400a5031b,Sun Life Stadium
56be5438acb8001400a5031c,Levi's Stadium
56beb03c3aeaaa14008c920b,New Orleans' Mercedes-Benz Superdome
56beb03c3aeaaa14008c920d,Levi's Stadium
56bf3c633aeaaa14008c9580,Levi's Stadium
56bf3c633aeaaa14008c9581,Mercedes-Benz Superdome
56bf3c633aeaaa14008c9582,Sun Life Stadium
56d20564e7d4791d00902612,New Orleans' Mercedes-Benz Superdome
56d6ee6e0d65d21400198254,three
56d6ee6e0d65d21400198255,New Orleans' Mercedes-Benz Superdome
56d6ee6e0d65d21400198256,Sun Life Stadium
56d6ee6e0d65d21400198257,New Orleans' Mercedes-Benz Superdome
56d6ee6e0d65d21400198258,Levi's Stadium
56d98db6dc89441400fdb552,Levi's Stadium
56d98db6dc89441400fdb553,Levi's Stadium
56d98db6dc89441400fdb554,Levi's Stadium
56be54bdacb8001400a50322,"October 16, 2012"
56be54bdacb8001400a50323,10
56be54bdacb8001400a50324,XLIV
56be54bdacb8001400a50325,2010
56be54bdacb8001400a50326,1985
56beb0f43aeaaa14008c921b,Sun Life Stadium
56beb0f43aeaaa14008c921c,"October 16, 2012"
56beb0f43aeaaa14008c921d,Stanford Stadium
56beb0f43aeaaa14008c921e,"May 3, 2013"
56beb0f43aeaaa14008c921f,1985
56bf21b43aeaaa14008c9525,2010
56bf21b43aeaaa14008c9526,XLIV
56bf21b43aeaaa14008c9528,Sun Life Stadium and Levi's Stadium
56bf21b43aeaaa14008c9529,49ers
56d6ef6a0d65d21400198260,1985
56d6ef6a0d65d21400198262,South Florida/Miami area
56d98f0ddc89441400fdb558,"October 16, 2012"
56d98f0ddc89441400fdb559,2010
56d98f0ddc89441400fdb55a,New Orleans
56d98f0ddc89441400fdb55b,1985
56d98f0ddc89441400fdb55c,the Florida legislature
56be5523acb8001400a5032c,"May 21, 2013"
56be5523acb8001400a5032d,Levi's Stadium
56be5523acb8001400a5032e,2014
56be5523acb8001400a5032f,$1.2 billion
56be5523acb8001400a50330,San Diego
56beb2153aeaaa14008c9225,Boston
56beb2153aeaaa14008c9226,"May 21, 2013"
56beb2153aeaaa14008c9227,$1.2 billion
56beb2153aeaaa14008c9228,XXXVII
56beb2153aeaaa14008c9229,San Diego
56bf23363aeaaa14008c952f,2014
56bf23363aeaaa14008c9530,2014
56bf23363aeaaa14008c9531,$1.2 billion
56bf23363aeaaa14008c9532,2014
56bf23363aeaaa14008c9533,Super Bowl XXXVII
56d6f0770d65d21400198268,"May 21, 2013"
56d6f0770d65d21400198269,2014
56d6f0770d65d2140019826a,1985
56d6f0770d65d2140019826c,Boston
56d98fbfdc89441400fdb562,2014
56d98fbfdc89441400fdb563,2014
56d98fbfdc89441400fdb564,$1.2 billion
56d98fbfdc89441400fdb565,2003
56be572b3aeaaa14008c9052,John Fox
56beb2a03aeaaa14008c922f,Carolina Panthers
56beb2a03aeaaa14008c9230,six
56beb2a03aeaaa14008c9231,The Carolina Panthers
56beb2a03aeaaa14008c9232,Super Bowl 50
56beb2a03aeaaa14008c9233,John Fox
56bf28c73aeaaa14008c9539,"three years, having reached Super Bowl XLVIII"
56bf28c73aeaaa14008c953a,Carolina Panthers
56bf28c73aeaaa14008c953c,Super Bowl XXXVIII
56bf28c73aeaaa14008c953d,six
56d6f1190d65d21400198272,number one
56d6f1190d65d21400198273,number one
56d6f1190d65d21400198274,John Fox
56d6f1190d65d21400198275,John Fox
56d6f1190d65d21400198276,six
56d99179dc89441400fdb56c,one
56d99179dc89441400fdb56d,the Denver Broncos became one of four
56d99179dc89441400fdb570,John Fox
56be59683aeaaa14008c9058,DeAngelo Williams
56be59683aeaaa14008c9059,Kelvin Benjamin
56be59683aeaaa14008c905a,Carolina Panthers
56beb3083aeaaa14008c923d,1978
56beb3083aeaaa14008c923e,Carolina Panthers
56beb3083aeaaa14008c923f,Ten
56beb3083aeaaa14008c9240,eight
56beb3083aeaaa14008c9241,Kelvin Benjamin
56bf2afe3aeaaa14008c9543,1978
56bf2afe3aeaaa14008c9544,1978
56bf2afe3aeaaa14008c9545,2009 New Orleans Saints
56bf2afe3aeaaa14008c9547,torn ACL
56d6f2000d65d2140019827c,Kelvin Benjamin
56d6f2000d65d2140019827d,DeAngelo Williams
56d6f2000d65d2140019827e,1978
56d6f2000d65d2140019827f,Ten
56d9943fdc89441400fdb576,Carolina Panthers
56d9943fdc89441400fdb577,1978
56d9943fdc89441400fdb578,Carolina Panthers
56d9943fdc89441400fdb57a,Ten
56beb3a03aeaaa14008c9247,six
56beb3a03aeaaa14008c9248,45
56beb3a03aeaaa14008c9249,10
56beb3a03aeaaa14008c924a,277 yards
56beb3a03aeaaa14008c924b,Greg Olsen
56bf6b303aeaaa14008c960b,45
56bf6b303aeaaa14008c960c,99.4
56bf6b303aeaaa14008c960d,77
56bf6b303aeaaa14008c960e,39 receptions for 485 yards
56bf6b303aeaaa14008c960f,Jonathan Stewart
56d6f2960d65d21400198286,six
56d6f2960d65d21400198287,Cam Newton
56d6f2960d65d21400198288,"3,837"
56d6f2960d65d21400198289,45
56d6f2960d65d2140019828a,989 rushing yards and six
56d997cddc89441400fdb586,500 points
56d997cddc89441400fdb587,"3,837"
56d997cddc89441400fdb588,45
56d997cddc89441400fdb589,99.4
56d997cddc89441400fdb58a,39
56beb4343aeaaa14008c925b,308
56beb4343aeaaa14008c925c,136
56beb4343aeaaa14008c925d,118
56beb4343aeaaa14008c925e,88 tackles
56beb4343aeaaa14008c925f,Kawann Short
56d6f3500d65d21400198290,24
56d6f3500d65d21400198291,Kawann Short
56d6f3500d65d21400198292,four
56d6f3500d65d21400198293,"5½ sacks, four"
56d6f3500d65d21400198294,Josh Norman
56d9992fdc89441400fdb59c,24
56d9992fdc89441400fdb59e,Mario Addison
56d9992fdc89441400fdb59f,Kawann Short
56d9992fdc89441400fdb5a0,four
56beb4e43aeaaa14008c9265,Wade Phillips
56beb4e43aeaaa14008c9266,Brock Osweiler
56beb4e43aeaaa14008c9267,Indianapolis Colts
56beb4e43aeaaa14008c9268,Osweiler
56beb4e43aeaaa14008c9269,Wade Phillips
56bf301c3aeaaa14008c954d,four
56bf301c3aeaaa14008c954e,Gary Kubiak
56bf301c3aeaaa14008c954f,San Diego Chargers
56bf301c3aeaaa14008c9550,39
56bf301c3aeaaa14008c9551,plantar fasciitis
56d6f4030d65d2140019829a,Gary Kubiak
56d6f4030d65d2140019829b,Wade Phillips
56d6f4030d65d2140019829c,Osweiler
56d6f4030d65d2140019829d,39
56d6f4030d65d2140019829e,13–7
56d99b7bdc89441400fdb5c8,Wade Phillips
56d99b7bdc89441400fdb5c9,Indianapolis Colts in 1998
56d99b7bdc89441400fdb5ca,John Fox
56d99b7bdc89441400fdb5cb,plantar fasciitis
56d99b7bdc89441400fdb5cc,Wade Phillips
56beb57b3aeaaa14008c9279,67.9
56beb57b3aeaaa14008c927a,"2,249 yards"
56beb57b3aeaaa14008c927b,Demaryius Thomas
56beb57b3aeaaa14008c927c,Emmanuel Sanders
56beb57b3aeaaa14008c927d,"1,967 yards, 10"
56bf38383aeaaa14008c956b,67.9
56bf38383aeaaa14008c956c,"2,249 yards"
56bf38383aeaaa14008c956d,"2,249 yards"
56bf38383aeaaa14008c956e,Demaryius Thomas
56bf38383aeaaa14008c956f,105 receptions
56d6fe0b0d65d214001982a4,67.9
56d6fe0b0d65d214001982a5,17
56d6fe0b0d65d214001982a6,Demaryius Thomas
56d6fe0b0d65d214001982a7,"720 yards, five"
56d99c44dc89441400fdb5d6,67.9
56d99c44dc89441400fdb5d7,17
56d99c44dc89441400fdb5d8,Emmanuel Sanders
56d99c44dc89441400fdb5d9,C. J. Anderson
56d99c44dc89441400fdb5da,4.7 yards
56beb6533aeaaa14008c928d,"4,530"
56beb6533aeaaa14008c928e,5½
56beb6533aeaaa14008c9290,Linebacker Brandon Marshall
56beb6533aeaaa14008c9291,102
56bf3e803aeaaa14008c9588,Pro Bowl
56bf3e803aeaaa14008c9589,7½ sacks. Linebacker Brandon Marshall led the team in total tackles with 109
56bf3e803aeaaa14008c958b,5½ sacks
56d6fea90d65d214001982ae,296
56d6fea90d65d214001982af,7½ sacks. Linebacker Brandon Marshall
56d6fea90d65d214001982b0,Brandon Marshall
56d6fea90d65d214001982b2,three
56d99da8dc89441400fdb5fd,Von Miller
56d99da8dc89441400fdb5ff,Brandon Marshall
56d99da8dc89441400fdb600,Derek Wolfe and Malik Jackson
56beb6f23aeaaa14008c92a1,the Seattle Seahawks
56beb6f23aeaaa14008c92a2,Arizona Cardinals
56beb6f23aeaaa14008c92a3,487
56beb6f23aeaaa14008c92a4,49–15
56beb6f23aeaaa14008c92a5,31–24
56bf34293aeaaa14008c9559,Arizona Cardinals
56bf34293aeaaa14008c955a,49–15
56bf34293aeaaa14008c955b,49–15
56d701280d65d214001982b8,the Seattle Seahawks
56d701280d65d214001982ba,Seattle Seahawks
56d701280d65d214001982bc,seven
56d99e78dc89441400fdb616,the Seattle Seahawks
56d99e78dc89441400fdb618,49–15
56d99e78dc89441400fdb619,Arizona Cardinals
56d99e78dc89441400fdb61a,487
56beb7953aeaaa14008c92ab,the Pittsburgh Steelers
56beb7953aeaaa14008c92ac,11
56beb7953aeaaa14008c92ad,New England Patriots
56beb7953aeaaa14008c92ae,20–18
56beb7953aeaaa14008c92af,17 seconds
56bf36b93aeaaa14008c9561,23–16
56bf36b93aeaaa14008c9562,11 points
56bf36b93aeaaa14008c9563,New England Patriots
56bf36b93aeaaa14008c9564,17 seconds
56bf36b93aeaaa14008c9565,Manning
56d7018a0d65d214001982c2,Pittsburgh Steelers
56d7018a0d65d214001982c3,11
56d7018a0d65d214001982c5,New England Patriots
56d99f99dc89441400fdb628,Pittsburgh Steelers
56d99f99dc89441400fdb629,New England Patriots
56d99f99dc89441400fdb62c,17 seconds
56beb7fd3aeaaa14008c92b5,broken arm
56beb7fd3aeaaa14008c92b6,broken arm
56beb7fd3aeaaa14008c92b7,three
56beb7fd3aeaaa14008c92b8,11-year veteran who had already overcome three ACL tears
56bf3a223aeaaa14008c9575,ACL tears
56bf3a223aeaaa14008c9576,broken arm
56bf3a223aeaaa14008c9577,11-year veteran who had already overcome three ACL tears
56bf3a223aeaaa14008c9579,NFC Championship Game
56d703d10d65d214001982d6,three
56d703d10d65d214001982d7,broken arm
56d703d10d65d214001982d8,11
56d9a026dc89441400fdb632,Thomas Davis
56beb86b3aeaaa14008c92bd,age 39
56beb86b3aeaaa14008c92be,John Elway
56beb86b3aeaaa14008c92bf,38
56beb86b3aeaaa14008c92c0,Executive Vice President of Football Operations and General Manager
56beb86b3aeaaa14008c92c1,Broncos to victory in Super Bowl XXXIII at age 38
56bf3fd53aeaaa14008c9591,Broncos
56bf3fd53aeaaa14008c9592,Denver's Executive Vice President of Football Operations
56bf3fd53aeaaa14008c9593,38
56bf3fd53aeaaa14008c9594,John Elway
56bf3fd53aeaaa14008c9595,39
56d704430d65d214001982de,two
56d704430d65d214001982e0,age 39
56d704430d65d214001982e1,age 39
56d704430d65d214001982e2,XXXIII
56d9a0eadc89441400fdb63e,Peyton Manning
56d9a0eadc89441400fdb63f,age 39
56d9a0eadc89441400fdb640,John Elway
56beb90c3aeaaa14008c92c7,"1998 NFL draft, while Newton was picked first in 2011"
56beb90c3aeaaa14008c92c8,2011
56beb90c3aeaaa14008c92c9,26
56beb90c3aeaaa14008c92ca,39
56beb90c3aeaaa14008c92cb,Manning
56bf41013aeaaa14008c959b,Manning
56bf41013aeaaa14008c959c,Newton
56bf41013aeaaa14008c959d,26
56bf41013aeaaa14008c959e,26
56d7096b0d65d214001982fc,1998
56d7096b0d65d214001982fd,2011
56d7096b0d65d214001982fe,Newton
56d9a199dc89441400fdb647,2011
56d9a199dc89441400fdb648,26
56d9a199dc89441400fdb649,13 years and 48 days
56beb97c3aeaaa14008c92db,XX
56beb97c3aeaaa14008c92dc,Chicago Bears
56beb97c3aeaaa14008c92dd,linebacker with the Chicago Bears
56beb97c3aeaaa14008c92de,Elway
56beb97c3aeaaa14008c92df,Chicago Bears
56bf6c3e3aeaaa14008c9615,linebacker with the Chicago Bears
56bf6c3e3aeaaa14008c9617,Elway
56d709ef0d65d21400198306,Rivera
56d709ef0d65d21400198307,XX
56beba103aeaaa14008c92e5,Justin Tucker
56beba103aeaaa14008c92e6,Bermuda 419
56beba103aeaaa14008c92e7,Ed Mangan
56beba103aeaaa14008c92e8,Baltimore Ravens
56beba103aeaaa14008c92e9,Baltimore Ravens
56bf467d3aeaaa14008c95a5,Baltimore Ravens kicker Justin Tucker
56bf467d3aeaaa14008c95a6,Justin Tucker
56bf467d3aeaaa14008c95a7,Bermuda 419 turf
56d70adc0d65d21400198311,Justin Tucker
56d70adc0d65d21400198312,new playing surface; a hybrid Bermuda 419 turf
56d70adc0d65d21400198313,a new playing surface; a hybrid Bermuda 419 turf
56d70adc0d65d21400198314,cleats
56d9a419dc89441400fdb678,Justin Tucker
56d9a419dc89441400fdb679,natural grass stadiums
56bebad93aeaaa14008c92f9,Pittsburgh Steelers
56bebad93aeaaa14008c92fa,0-4
56bebad93aeaaa14008c92fb,Pittsburgh Steelers
56bebad93aeaaa14008c92fc,matching white
56bebad93aeaaa14008c92fd,Atlanta Falcons 34–19
56bf48cc3aeaaa14008c95ab,Super Bowl XXXIII
56bf48cc3aeaaa14008c95ac,0-4
56bf48cc3aeaaa14008c95ae,Pittsburgh Steelers
56bf48cc3aeaaa14008c95af,blue
56d70ccc0d65d2140019831d,road white
56d70ccc0d65d2140019831f,Pittsburgh Steelers
56d9a637dc89441400fdb697,Pittsburgh Steelers
56d9a637dc89441400fdb698,blue
56d9a637dc89441400fdb699,orange
56d9a637dc89441400fdb69a,blue jerseys
56bebb293aeaaa14008c9303,Stanford University
56bebb293aeaaa14008c9304,Stanford University
56bebb293aeaaa14008c9305,San Jose
56bebb293aeaaa14008c9306,Stanford University
56bf49993aeaaa14008c95b5,San Jose Marriott
56bf49993aeaaa14008c95b6,San Jose Marriott
56bf49993aeaaa14008c95b7,San Jose State practice facility
56bf49993aeaaa14008c95b8,Stanford University
56d70d240d65d21400198326,San Jose State practice facility
56d70d240d65d21400198327,San Jose Marriott
56d70d240d65d21400198328,Stanford University
56d70d240d65d21400198329,Santa Clara Marriott
56d9a6b4dc89441400fdb6a0,San Jose State practice facility
56d9a6b4dc89441400fdb6a1,San Jose Marriott
56d9a6b4dc89441400fdb6a2,Stanford University
56d9a6b4dc89441400fdb6a3,Stanford University
56bebbbf3aeaaa14008c9315,"June 4, 2014"
56bebbbf3aeaaa14008c9316,Super Bowl V
56bebbbf3aeaaa14008c9317,Jaime Weston
56bebbbf3aeaaa14008c9318,Super Bowl XLV
56bebbbf3aeaaa14008c9319,Vince Lombardi
56bf4e1b3aeaaa14008c95bd,"June 4, 2014"
56bf4e1b3aeaaa14008c95be,Super Bowl L
56bf4e1b3aeaaa14008c95c0,Arabic
56bf4e1b3aeaaa14008c95c1,gold
56d70daa0d65d21400198332,"June 4, 2014"
56d70daa0d65d21400198333,Arabic
56d70daa0d65d21400198334,Super Bowl 50 as opposed to Super Bowl L
56d70daa0d65d21400198335,gold
56d70daa0d65d21400198336,Super Bowl LI
56d9a7addc89441400fdb6a8,Arabic
56d9a7addc89441400fdb6ab,Super Bowl LI
56bebc383aeaaa14008c931f,gold
56bebc383aeaaa14008c9320,week 7
56bebc383aeaaa14008c9321,50
56bf52483aeaaa14008c95c7,gold
56bf52483aeaaa14008c95c8,gold
56d70e570d65d2140019833c,50-yard line on fields was colored gold
56d70e570d65d2140019833e,Gold footballs
56d70e570d65d2140019833f,50-
56d9b01fdc89441400fdb6d4,gold
56bebcbe3aeaaa14008c9325,Moscone Center in San Francisco
56bebcbe3aeaaa14008c9326,San Francisco
56bebcbe3aeaaa14008c9327,Ed Lee
56bebcbe3aeaaa14008c9328,Jane Kim
56bebcbe3aeaaa14008c9329,January 30
56bf53e73aeaaa14008c95cb,More than 1 million
56bf53e73aeaaa14008c95cc,Ed Lee
56bf53e73aeaaa14008c95cd,the Moscone Center
56bf53e73aeaaa14008c95ce,Justin Herman Plaza
56d7145c0d65d2140019834c,San Francisco
56d7145c0d65d2140019834d,Super Bowl City
56d7145c0d65d2140019834f,Ed Lee
56d9b389dc89441400fdb6ec,Super Bowl City
56d9b389dc89441400fdb6ed,More than 1 million
56d9b389dc89441400fdb6ee,San Francisco mayor Ed Lee
56d9b389dc89441400fdb6ef,$5 million
56d9b389dc89441400fdb6f0,The annual NFL Experience was held at the Moscone Center in San Francisco
56bebd713aeaaa14008c932f,Santa Clara
56bebd713aeaaa14008c9330,$2 million
56bebd713aeaaa14008c9331,week
56bf555e3aeaaa14008c95d3,$2 million
56bf555e3aeaaa14008c95d4,pep
56bf555e3aeaaa14008c95d5,city council
56d714cd0d65d21400198356,Bellomy Field
56d714cd0d65d21400198358,the city council
56d714cd0d65d21400198359,the city council
56d9b43edc89441400fdb700,$2 million
56d9b43edc89441400fdb701,the city council
56bebde53aeaaa14008c9335,Tuesday afternoon
56bebde53aeaaa14008c9336,Tuesday afternoon
56bebde53aeaaa14008c9337,SAP Center in San Jose
56bebde53aeaaa14008c9338,San Jose
56bebde53aeaaa14008c9339,Golden Gate Bridge
56bf57043aeaaa14008c95d9,Tuesday afternoon
56bf57043aeaaa14008c95da,Tuesday afternoon
56bf57043aeaaa14008c95db,Super Bowl Opening Night
56bf57043aeaaa14008c95dc,SAP Center
56bf57043aeaaa14008c95dd,San Jose
56d71bd80d65d2140019835e,Tuesday afternoon
56d71bd80d65d21400198360,Super Bowl Opening Night
56d71bd80d65d21400198361,SAP Center in San Jose
56d71bd80d65d21400198362,Golden Gate Bridge
56d9b4ebdc89441400fdb708,Monday evening and re-branded as Super Bowl Opening Night
56d9b4ebdc89441400fdb709,Super Bowl Opening Night
56d9b4ebdc89441400fdb70a,SAP Center in San Jose
56d9b4ebdc89441400fdb70b,Golden Gate Bridge
56d9b4ebdc89441400fdb70c,"February 1, 2016"
56bebe873aeaaa14008c933f,Super Bowl
56bebe873aeaaa14008c9340,$40 million
56bebe873aeaaa14008c9341,"Google, Yahoo!, Intel, Gap, Chevron, and Dignity Health"
56bebe873aeaaa14008c9342,"Apple, Google, Yahoo!"
56bebe873aeaaa14008c9343,"Apple, Google, Yahoo!"
56bf59523aeaaa14008c95e3,Business Connect
56bf59523aeaaa14008c95e4,$40 million
56bf59523aeaaa14008c95e5,over $40 million
56d71cb60d65d21400198368,Connect
56d9b5ffdc89441400fdb720,Connect
56d9b5ffdc89441400fdb721,$40 million
56bebec43aeaaa14008c9349,25 percent
56bebec43aeaaa14008c934a,50 fund
56bf5abc3aeaaa14008c95e9,25 percent
56bf5abc3aeaaa14008c95ea,youth development
56d71d150d65d2140019836e,giving
56d71d150d65d2140019836f,25 percent
56d71d150d65d21400198370,grants
56d9b6a3dc89441400fdb72f,25 percent
56d9b6a3dc89441400fdb730,community investment and sustainable environments
56bec0353aeaaa14008c934d,Vince Lombardi
56bec0353aeaaa14008c934e,18
56bec0353aeaaa14008c934f,33 lb (15 kg)
56bec0353aeaaa14008c9350,Tiffany & Co
56bec0353aeaaa14008c9351,Tiffany & Co
56bf5b933aeaaa14008c95ed,50
56bf5b933aeaaa14008c95ef,18-karat
56bf5b933aeaaa14008c95f1,Tiffany & Co
56d71d9d0d65d21400198374,50
56d71d9d0d65d21400198377,Tiffany & Co
56bec0dd3aeaaa14008c9357,CBS
56bec0dd3aeaaa14008c9358,Phil Simms
56bec0dd3aeaaa14008c9359,Tracy Wolfson
56bec0dd3aeaaa14008c935a,36
56bec0dd3aeaaa14008c935b,5K
56bf5e7b3aeaaa14008c95f7,three
56bf5e7b3aeaaa14008c95f8,Evan Washburn
56bf5e7b3aeaaa14008c95f9,36
56bf5e7b3aeaaa14008c95fa,5K
56bf5e7b3aeaaa14008c95fb,Tracy Wolfson and Evan Washburn on the sidelines
56d71ed50d65d2140019837c,CBS
56d71ed50d65d2140019837d,three
56d9b7dcdc89441400fdb740,CBS
56d9b7dcdc89441400fdb741,Jim Nantz and Phil Simms
56d9b7dcdc89441400fdb742,Tracy Wolfson
56d9b7dcdc89441400fdb743,5K
56d9b7dcdc89441400fdb744,5K resolution
56bec1823aeaaa14008c9361,ESPN Deportes
56bec1823aeaaa14008c9362,John Sutcliffe
56bec1823aeaaa14008c9363,ESPN Deportes' Monday Night Football commentary crew of Alvaro Martin
56bec1823aeaaa14008c9364,"December 28, 2015"
56bec1823aeaaa14008c9365,Spanish
56bf6d343aeaaa14008c961b,ESPN Deportes
56d71fc00d65d21400198386,ESPN Deportes
56d71fc00d65d21400198389,John Sutcliffe
56d9ba95dc89441400fdb754,CBS and the NFL
56d9ba95dc89441400fdb757,John Sutcliffe
56d9ba95dc89441400fdb758,John Sutcliffe
56bec2013aeaaa14008c9371,NFL Mobile
56bec2013aeaaa14008c9372,NFL Mobile service. The ESPN Deportes Spanish
56bec2013aeaaa14008c9373,CBSSports.com
56bec2013aeaaa14008c9374,"tablets, Windows 10, Xbox One"
56bec2013aeaaa14008c9375,"tablets, Windows 10"
56bf6e7a3aeaaa14008c961f,CBSSports.com
56bf6e7a3aeaaa14008c9620,ESPN Deportes Spanish
56bf6e7a3aeaaa14008c9621,Verizon Wireless
56bf6e7a3aeaaa14008c9622,CBS Sports
56d7205e0d65d21400198391,NFL Mobile service
56d7205e0d65d21400198392,NFL
56d9bc13dc89441400fdb75e,ESPN Deportes Spanish
56d9bc13dc89441400fdb75f,NFL Mobile service
56d9bc13dc89441400fdb760,WatchESPN
56bec2573aeaaa14008c937b,late night
56bec2573aeaaa14008c937c,James Corden
56bf6f743aeaaa14008c9631,Stephen Colbert
56bf6f743aeaaa14008c9632,late night
56d720c70d65d21400198396,Super Bowl 50
56d720c70d65d21400198397,the game
56d720c70d65d21400198398,Stephen Colbert
56bec3153aeaaa14008c9389,"$5,000,000"
56bec3153aeaaa14008c938a,Anheuser-Busch InBev
56bec3153aeaaa14008c938b,Doritos
56bec3153aeaaa14008c938c,20th
56bf717d3aeaaa14008c9635,"$5,000,000"
56bf717d3aeaaa14008c9637,Nintendo and The Pokémon Company
56bf717d3aeaaa14008c9638,Nintendo and The Pokémon Company
